ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTczNg==,2022-07-17T22:48:59+00:00,LBAND,511.5476240747657,10.390476021719211,1.836520534384812e-05,59000.0,1.9348,0.101,1067.65393066406,1.662,-0.768521,0.05,0.10227554563492064
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2OA==,2020-07-02T02:57:37+00:00,LBAND,255.8127970093451,10.390596061476874,3.036030514558447e-05,59000.0,1.7312,0.072,1267.35046386719,3.271,-0.581084,0.06,0.10071194556451613
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU0OQ==,2019-07-19T23:12:15+00:00,LBAND,258.16466422429926,10.390501556971582,3.046013825129801e-05,59000.0,1.1681,0.089,1068.39294433594,2.283,-1.16418,0.06,0.06435210129310345
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5OA==,2021-03-04T08:15:56+00:00,LBAND,255.4987208971956,10.390925263644258,2.54730371663183e-05,59000.0,1.487,0.067,1155.52807617188,3.001,-0.752917,0.05,0.09901083669354839
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTE5NzY=,2023-08-28T20:27:57+00:00,LBAND,511.54544927102796,10.39019683595471,2.043520208115892e-05,59000.0,3.4148,0.071,1904.40405273438,3.011,-1.14433,0.04,0.10239955357142858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzUzODA=,2023-07-14T18:48:18+00:00,LBAND,255.49220844859806,10.390245958593589,2.73508504153397e-05,59000.0,1.1641,0.098,791.759704589844,1.884,-0.676353,0.06,0.09397051411290322
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2Ng==,2023-05-20T01:04:21+00:00,LBAND,255.56959222429902,10.390222971639277,2.863738077794392e-05,59000.0,1.0474,0.119,636.926147460938,1.512,-0.420618,0.06,0.09104082661290322
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5NQ==,2021-01-23T08:14:45+00:00,LBAND,255.4987208971956,10.390636747575822,3.020068444939424e-05,59000.0,7.5907,0.082,3142.31494140625,6.77,-0.844765,0.04,0.08401587701612903
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcwMQ==,2021-04-15T07:38:44+00:00,LBAND,255.4987208971956,10.390954068752746,1.795406132272612e-05,59000.0,2.1848,0.053,2409.64013671875,4.857,-0.852278,0.04,0.07258064516129033
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2NQ==,2023-05-10T02:07:34+00:00,LBAND,511.5476240747657,10.390224974822656,1.921594708110802e-05,59000.0,0.902,0.079,976.434936523438,1.606,-0.564754,0.06,0.09444754464285714
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzMzOTA=,2024-02-05T10:30:05+00:00,LBAND,511.54544927102796,10.390233252057024,2.939917667006871e-05,59000.0,0.8393,0.069,917.338928222656,1.672,-2.834,0.09,0.09894283234126984
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY1NQ==,2020-05-12T04:18:26+00:00,LBAND,512.95877024299,10.390641323879848,3.520827751768644e-05,59000.0,1.2252,0.106,681.258361816406,1.221,-0.286376,0.09,0.10398065476190477
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDM2MDE=,2023-12-27T07:35:15+00:00,LBAND,255.56959222429902,10.390201831532416,2.710309687890867e-05,59000.0,1.3519,0.062,1084.07299804688,2.853,-2.55639,0.05,0.28714087701612906
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc0OQ==,2022-12-30T08:59:44+00:00,LBAND,255.4987208971956,10.390474270640171,4.333584286509667e-05,59000.0,0.6049,0.166,395.617218017578,1.024,-1.8643,0.1,0.0798828125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc0Ng==,2022-12-01T13:14:00+00:00,LBAND,255.5777890093451,10.390453923471844,1.353439023219325e-05,59000.0,1.2284,0.059,1733.84240722656,4.104,-2.23873,0.04,0.12141927083333333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2OQ==,2020-07-10T03:21:46+00:00,UHF,1023.2861665882355,10.390693584231665,2.448899862567977e-05,59000.0,1.0359,0.186,1105.25415039062,3.886,0.34948,0.03,0.08968996062992125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3NQ==,2019-09-25T17:54:03+00:00,LBAND,258.5566935327105,10.390649131707987,4.796552826244665e-05,59000.0,1.6915,0.071,1144.10009765625,2.871,-1.35411,0.08,0.08318270300333704
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5OQ==,2020-01-23T14:17:53+00:00,LBAND,257.53764007476656,10.390400784578757,3.647317503421038e-05,59000.0,5.4838,0.081,2141.42260742188,5.182,-0.964716,0.05,0.05902391546162403
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzU0MDM=,2023-09-12T18:19:53+00:00,LBAND,511.54544927102796,10.390250744550102,3.034926811552828e-05,59000.0,0.9454,0.066,1057.60437011719,1.759,-1.79829,0.08,0.08640252976190477
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM1MDQ=,2024-03-06T05:12:15+00:00,UHF,255.227392,10.390162750457396,2.204360735395402e-05,59000.0,0.7879,0.18,655.24560546875,2.434,-0.624475,0.04,0.0870085685483871
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTUzNQ==,2019-04-03T04:22:26+00:00,LBAND,247.99999999999935,10.39049584319667,3.84089781537843e-05,59000.0,0.9478,0.154,536.572326660156,1.431,-0.430192,0.08,0.08267106681034483
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY3NA==,2020-07-30T19:34:26+00:00,LBAND,511.93967013084045,10.39072374298699,1.302072665517738e-05,59000.0,0.8931,0.057,1401.52709960938,2.154,-0.800176,0.04,0.09151785714285714
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc1MQ==,2023-01-09T12:43:06+00:00,LBAND,511.5476240747657,10.390319406180978,1.879193694766855e-05,59000.0,1.2757,0.039,1675.68469238281,3.125,-2.29476,0.05,0.06715029761904762
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY3OQ==,2020-08-27T20:43:39+00:00,LBAND,511.5476240747657,10.390821062012177,1.237953502931989e-05,59000.0,1.198,0.053,1507.63208007812,2.975,-0.874521,0.04,0.09286644345238096
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU0Nw==,2019-07-08T21:20:01+00:00,LBAND,513.6641973831778,10.390394085447989,2.481909718219799e-05,59000.0,1.156,0.054,1432.52294921875,2.394,-0.987101,0.08,0.06046455938697318
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5Nw==,2020-01-07T12:25:04+00:00,LBAND,514.526216373832,10.390300066141583,3.79171933943088e-05,59000.0,1.0823,0.122,666.043273925781,1.315,-1.49225,0.1,0.10124178981937602
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0NQ==,2020-04-09T05:57:30+00:00,LBAND,514.6049244112143,10.390597066709658,2.270449434460216e-05,59000.0,1.628,0.08,1367.20471191406,2.23,-2.20938,0.06,0.10715835813492064
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0OQ==,2020-04-27T05:09:21+00:00,LBAND,514.8399324112142,10.390599541193366,3.76817413339026e-05,59000.0,1.1657,0.157,564.725708007812,0.908,-0.636982,0.09,0.09331597222222222
