#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;Gl;Gb;
 ; ;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(deg);(deg);
27;J0024-7204R;clf+00;00:24:07.5851;2.0e-04;frk+17;-72:04:50.3954;5.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.892  ;-44.890  ;
28;J0024-7204S;clf+00;00:24:03.9794;1.0e-04;frk+17;-72:04:42.3530;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.898  ;-44.892  ;
29;J0024-7204T;clf+00;00:24:08.5491;5.0e-04;frk+17;-72:04:38.932;3.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.890  ;-44.894  ;
30;J0024-7204U;clf+00;00:24:09.8366;1.0e-04;frk+17;-72:03:59.6882;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.890  ;-44.905  ;
31;J0024-7204V;clf+00;00:24:05.67;0;mam+06;-72:04:52.62;0;mam+06;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.895  ;-44.889  ;
32;J0024-7204W;clf+00;00:24:06.058;1.0e-03;rft+16;-72:04:49.088;2.0e-03;rft+16;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.894  ;-44.890  ;
33;J0024-7204X;fre08;00:24:22.38565;9.0e-05;rft+16;-72:01:17.4414;7.0e-04;rft+16;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.877  ;-44.952  ;
34;J0024-7204Y;frk+17;00:24:01.4026;1.0e-04;frk+17;-72:04:41.8363;4.0e-04;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.903  ;-44.891  ;
35;J0024-7204Z;frk+17;00:24:06.041;2.0e-03;frk+17;-72:05:01.480;6.0e-03;frk+17;5.252;2.1e-02;vb21;-2.551;2.1e-02;vb21;305.894  ;-44.887  ;
36;J0026-1955;mss+20;00:26:36;0;mbs+22;-19:55:59;0;mbs+22;*;0;*;*;0;*;83.291   ;-80.829  ;
37;J0026+6320;jml+09;00:26:50.561;8.0e-03;jml+09;+63:20:00.87;5.0e-02;jml+09;*;0;*;*;0;*;120.176  ;0.593    ;
38;J0030+0451;lzb+00;00:30:27.42750;3.8e-05;aab+21a;+04:51:39.7116;1.3e-03;aab+21a;-6.33;1.2e-01;*;0.8;2.8e-01;*;113.141  ;-57.611  ;
39;J0033+57;hrk+08;00:33;0;hrk+08;+57;0;hrk+08;*;0;*;*;0;*;120.410  ;-5.781   ;
40;J0033+61;hrk+08;00:33;0;hrk+08;+61;0;hrk+08;*;0;*;*;0;*;120.698  ;-1.792   ;
41;J0034-0534;bhl+94;00:34:21.83422;8.0e-05;dcl+16;-05:34:36.722;3.0e-03;dcl+16;7.9;3.0e-01;dcl+16;-9.2;6.0e-01;dcl+16;111.492  ;-68.069  ;
42;J0034-0721;lvw69a;00:34:08.8703;1.0e-04;cbv+09;-07:21:53.409;2.0e-03;cbv+09;10.37;8.0e-02;cbv+09;-11.13;1.6e-01;cbv+09;110.420  ;-69.815  ;
43;J0034+69;slr+14;00:34;3.0e+00;slr+14;+69:43;1.8e+01;slr+14;*;0;*;*;0;*;121.411  ;6.896    ;
44;J0036-1033;sbs+21;00:36:15.01;4.0e-02;sbs+21;-10:33:14.2;9.0e-01;sbs+21;*;0;*;*;0;*;110.033  ;-73.044  ;
45;J0038-2501;acd+19;00:38:10.264;1.0e-02;acd+19;-25:01:30.73;2.0e-02;acd+19;*;0;*;*;0;*;67.413   ;-86.354  ;
46;J0039+35;scb+19;00:39:06;1.2e+01;scb+19;+35:45;3.0e+00;scb+19;*;0;*;*;0;*;120.121  ;-27.054  ;
47;J0040+5716;dtws85;00:40:32.3899;1.0e-04;dgb+19;+57:16:24.833;1.0e-03;dgb+19;12.39;5.0e-02;dgb+19;-5.4;1.0e-01;dgb+19;121.452  ;-5.567   ;
48;J0043-73;tsm+19;00:43:25;9.5e+01;tsm+19;-73:11;7.0e+00;tsm+19;*;0;*;*;0;*;303.737  ;-43.932  ;
49;J0045-7042;mfl+06;00:45:25.69;1.7e-01;mfl+06;-70:42:07.1;1.3e+00;mfl+06;*;0;*;*;0;*;303.652  ;-46.418  ;
50;J0045-7319;mmh+91;00:45:35.16;7.0e-02;kbm+96;-73:19:03.0;2.0e-01;kbm+96;*;0;*;*;0;*;303.514  ;-43.804  ;
51;J0048+3412;dtws85;00:48:33.98;2.1e-02;hlk+04;+34:12:08.0;3.7e-01;hlk+04;*;0;*;*;0;*;122.255  ;-28.666  ;
52;J0050+03;dsm+16;00:50:31;1.1e+02;dsm+16;+03:48;8.0e+00;dsm+16;*;0;*;*;0;*;122.485  ;-59.071  ;
53;J0051+0423;snt97;00:51:30.1;2.0e-01;snt97;+04:22:49;6.0e+00;snt97;*;0;*;*;0;*;122.962  ;-58.491  ;
54;J0052-72;tsm+19;00:52:28;9.5e+01;tsm+19;-72:05;7.0e+00;tsm+19;*;0;*;*;0;*;302.820  ;-45.045  ;
55;J0054+66;hrk+08;00:54;0;hrk+08;+66;0;hrk+08;*;0;*;*;0;*;123.193  ;3.130    ;
56;J0054+69;kkl+15;00:54:28;2.5e+01;kkl+15;+69:26;2.0e+00;kkl+15;*;0;*;*;0;*;123.200  ;6.563    ;
57;J0054+6946;slr+14;00:54:59.116;6.8e-03;lsk+18;+69:46:16.85;3.5e-02;lsk+18;*;0;*;*;0;*;123.241  ;6.902    ;
58;J0055+5117;dtws85;00:55:45.3981;1.0e-04;dgb+19;+51:17:24.601;1.0e-03;dgb+19;10.47;7.0e-02;dgb+19;-17.4;1.0e-01;dgb+19;123.621  ;-11.576  ;
59;J0056+4756;dtws85;00:56:25.51;1.9e-02;hlk+04;+47:56:10.5;2.3e-01;hlk+04;*;0;*;*;0;*;123.796  ;-14.927  ;
60;J0057-7201;ckm+01;00:57:44.0;4.0e-01;ckm+01;-72:01:19;2.0e+00;ckm+01;*;0;*;*;0;*;302.244  ;-45.098  ;
61;J0058+4950;slr+14;00:58:09.98;2.7e-02;lsk+18;+49:50:26.0;2.3e-01;lsk+18;*;0;*;*;0;*;124.045  ;-13.017  ;
62;J0058+6125;hrk+08;00:58;0;hrk+08;+61:25;0;hrk+08;*;0;*;*;0;*;123.717  ;-1.445   ;
63;J0058-7218;met+21;00:58:16.7;2.0e-01;ofb+11;-72:18:06;1.0e+00;ofb+11;*;0;*;*;0;*;302.199  ;-44.817  ;
64;J0059+69;scb+19;00:59:30;3.6e+01;scb+19;+69:55;3.0e+00;scb+19;*;0;*;*;0;*;123.629  ;7.056    ;
65;J0100-7211;lfmp02;01:00:43.03;1.1e-01;mgr+05;-72:11:33.6;5.0e-01;mgr+05;*;0;*;*;0;*;301.930  ;-44.918  ;
66;J0100+8023;scb+19;01:00:16.09;1.0e-02;tbc+20;+80:23:41.75;3.0e-02;tbc+20;*;0;*;*;0;*;123.318  ;17.530   ;
67;J0101-6422;kcj+12;01:01:11.1163;2.0e-04;kcj+12;-64:22:30.171;2.0e-03;kcj+12;10;1.0e+00;kcj+12;-12;2.0e+00;kcj+12;301.192  ;-52.720  ;
68;J0102+4839;hrm+11;01:02:50.668;3.0e-03;aab+22;+48:39:42.76;4.0e-02;aab+22;*;0;*;*;0;*;124.874  ;-14.167  ;
69;J0102+6537;dbtb82;01:02:32.9914;1.0e-04;dgb+19;+65:37:13.416;1.0e-03;dgb+19;9.24;7.0e-02;dgb+19;1.77;1.5e-01;dgb+19;124.080  ;2.773    ;
70;J0103+54;kkl+15;01:03:37;2.0e+01;kkl+15;+54:02;5.0e+00;kkl+15;*;0;*;*;0;*;124.741  ;-8.796   ;
71;J0104+64;mss+20;01:04;0.0e+00;mss+20;+64;0;mss+20;*;0;*;*;0;*;124.308  ;1.162    ;
72;J0106+4855;pga+12;01:06:25.06;1.0e-02;pga+12;+48:55:51.8;2.0e-01;pga+12;*;0;*;*;0;*;125.465  ;-13.867  ;
73;J0107+1322;scb+19;01:07:39.95;2.0e-02;tbc+20;+13:22:31.7;8.0e-01;tbc+20;*;0;*;*;0;*;128.991  ;-49.305  ;
74;J0108-1431;tnj+94;01:08:08.347016;8.8e-05;dtbr09;-14:31:50.1871;1.1e-03;dtbr09;75.1;2.3e+00;dtbr09;-152.5;1.7e+00;dtbr09;140.930  ;-76.815  ;
75;J0108+6608;dls72;01:08:22.5049;3.0e-04;dgb+19;+66:08:34.499;1.0e-03;dgb+19;-32.75;3.0e-02;dgb+19;35.15;4.0e-02;dgb+19;124.646  ;3.328    ;
76;J0108+6905;dtws85;01:08:29.50;2.0e-02;hlk+04;+69:05:52.63;1.1e-01;hlk+04;*;0;*;*;0;*;124.461  ;6.277    ;
77;J0109+11;tkt22;01:09;4.0e+00;tkt22;+11:32;1.5e+01;tkt22;*;0;*;*;0;*;129.793  ;-51.104  ;
78;J0110-22;mss+20;01:10;0.0e+00;mss+20;-22;0.0e+00;mss+20;*;0;*;*;0;*;163.377  ;-83.360  ;
79;J0111+6624;slr+14;01:11:21.87;1.2e-01;lsk+18;+66:24:10.8;6.1e-01;lsk+18;*;0;*;*;0;*;124.928  ;3.609    ;
80;J0111-7131;mfl+06;01:11:28.77;9.0e-02;mfl+06;-71:31:46.8;6.0e-01;mfl+06;*;0;*;*;0;*;300.669  ;-45.510  ;
81;J0113-7220;ckm+01;01:13:11.09;3.0e-02;ckm+01;-72:20:32.20;1.5e-01;ckm+01;*;0;*;*;0;*;300.615  ;-44.688  ;
82;J0115+6325;scb+19;01:15:45.87;1.0e-02;mbc+20;+63:25:50.8;1.0e-01;mbc+20;*;0;*;*;0;*;125.648  ;0.687    ;
83;J0117+5914;stwd85;01:17:38.661;2.6e-03;hlk+04;+59:14:38.39;2.3e-02;hlk+04;-3;5.3e+00;*;18;5.7e+00;*;126.283  ;-3.457   ;
84;J0121+53;gac+21;01:21;1.1e+01;gac+21;+53:29;1.6e+01;gac+21;*;0;*;*;0;*;127.378  ;-9.133   ;
85;J0122+1416;ttk+17;01:22:01.31;3.0e-02;mbc+20;+14:16:17;1.0e+00;mbc+20;*;0;*;*;0;*;134.030  ;-47.940  ;
86;J0125-2327;mbc+19;01:25:10;0;mbc+19;-23:27:26;0;mbc+19;*;0;*;*;0;*;189.069  ;-81.541  ;
87;J0125+62;slr+14;01:26;3.0e+00;slr+14;+62:35;1.8e+01;slr+14;*;0;*;*;0;*;126.899  ;-0.022   ;
88;J0131-7310;mfl+06;01:31:28.51;3.0e-02;mfl+06;-73:10:09.34;1.3e-01;mfl+06;*;0;*;*;0;*;298.944  ;-43.648  ;
89;J0133-6957;lml+98;01:33:32.46;1.0e-02;dsb+98;-69:57:29.68;3.0e-02;dsb+98;*;0;*;*;0;*;297.691  ;-46.739  ;
90;J0134-2937;mld+96;01:34:18.6824;3.0e-04;lwy+16;-29:37:17.042;7.0e-03;lwy+16;17;1.0e+00;jbv+19;-9;2.0e+00;jbv+19;230.251  ;-80.250  ;
91;J0137+1654;lxf+05;01:37:23.88;1.0e-02;lxf+05;+16:54:42.1;4.0e-01;lxf+05;*;0;*;*;0;*;138.449  ;-44.571  ;
92;J0137+6349;slr+14;01:37:13.365;1.7e-02;lsk+18;+63:49:34.35;1.1e-01;lsk+18;*;0;*;*;0;*;127.955  ;1.402    ;
93;J0139+3336;ttm+18;01:39:57.23;4.0e-02;mbc+20;+33:36:59.7;9.0e-01;mbc+20;*;0;*;*;0;*;134.381  ;-28.174  ;
94;J0139+5621;cvh+14;01:39:38.56;2.0e-02;cvh+14;+56:21:36.8;4.0e-01;cvh+14;*;0;*;*;0;*;129.609  ;-5.885   ;
95;J0139+5814;dth78;01:39:19.7401;1.2e-03;cbv+09;+58:14:31.819;1.7e-02;cbv+09;-19.11;7.0e-02;cbv+09;-16.60;7.0e-02;cbv+09;129.216  ;-4.044   ;
96;J0141+6009;mth72;01:41:39.938;7.6e-03;hlk+04;+60:09:32.30;6.7e-02;hlk+04;*;0;*;*;0;*;129.147  ;-2.105   ;
97;J0141+63;slr+14;01:41;2.0e+00;slr+14;+63:08;8.0e+00;slr+14;*;0;*;*;0;*;128.497  ;0.798    ;
98;J0146+31;ttol16;01:46:15;4.0e+01;ttol16;+31:04;1.0e+01;ttol16;*;0;*;*;0;*;136.532  ;-30.353  ;
99;J0146+6145;ims94;01:46:22.42;1.0e-01;pkw+03;+61:45:02.8;7.0e-01;pkw+03;-4.1;1.0e+00;tck13;1.9;1.0e+00;tck13;129.384  ;-0.431   ;
100;J0147+5922;stwd85;01:47:44.6434;1.0e-04;dgb+19;+59:22:03.284;1.0e-03;dgb+19;-6.39;9.0e-02;dgb+19;3.80;8.0e-02;dgb+19;130.059  ;-2.723   ;
101;J0151-0635;mlt+78;01:51:22.7179;2.0e-04;dgb+19;-06:35:02.987;2.0e-03;dgb+19;10.7;1.0e-01;dgb+19;-5.38;7.0e-02;dgb+19;160.368  ;-65.004  ;
102;J0152+0948;clm+05;01:52:23.73;5.0e-02;clm+05;+09:48:10;2.0e+00;clm+05;*;0;*;*;0;*;146.812  ;-50.221  ;
103;J0152-1637;mlt+78;01:52:10.8539;1.0e-04;dgb+19;-16:37:53.641;2.0e-03;dgb+19;0.8;2.0e-01;dgb+19;-31.3;4.0e-01;dgb+19;179.306  ;-72.457  ;
104;J0154+1833;mgf+19;01:54:36.88273;3.0e-05;mgf+19;+18:33:50.758;9.0e-03;mgf+19;10.3;9.0e-01;mgf+19;-8.9;1.9e+00;mgf+19;143.185  ;-41.810  ;
105;J0156+04;dsm+16;01:56:01;1.1e+02;dsm+16;+04:02;8.0e+00;dsm+16;*;0;*;*;0;*;151.975  ;-55.155  ;
106;J0156+3949;dtws85;01:56:55.2;2.1e-01;hlk+04;+39:49:29;4.1e+00;hlk+04;*;0;*;*;0;*;136.369  ;-21.332  ;
107;J0157+6212;dls72;01:57:49.9434;1.0e-04;dgb+19;+62:12:26.648;1.0e-03;dgb+19;1.57;6.0e-02;dgb+19;44.80;4.0e-02;dgb+19;130.586  ;0.326    ;
108;J0158+21;dsm+13;01:58:29;3.2e+01;dsm+13;+21:08;8.0e+00;dsm+13;*;0;*;*;0;*;143.208  ;-39.084  ;
109;J0201+7005;kkl+15;02:01:41.344;7.0e-03;kkl+15;+70:05:18.11;6.0e-02;kkl+15;*;0;*;*;0;*;128.889  ;8.033    ;
110;J0203-0150;mzl+23;02:03:33.91215;4.0e-05;mzl+23;-01:50:01.5874;9.0e-04;mzl+23;*;0;*;*;0;*;160.317  ;-59.365  ;
111;J0205+6449;mss+02;02:05:37.92247;1.5e-04;bkr+13;+64:49:41.3343;1.0e-03;bkr+13;-1.40;1.6e-01;bkr+13;0.54;1.6e-01;bkr+13;130.719  ;3.084    ;
112;J0206-4028;mlt+78;02:06:01.293;5.0e-03;jbv+19;-40:28:03.62;7.0e-02;jbv+19;9;4.0e+00;jbv+19;26;5.0e+00;jbv+19;258.595  ;-69.633  ;
113;J0209+5759;gac+21;02:09:37.304;1.6e-02;gac+21;+57:59:45.31;1.8e-01;gac+21;*;0;*;*;0;*;133.162  ;-3.314   ;
114;J0210+5845;scb+19;02:10:55.4;1.0e-01;tbc+20;+58:45:04;1.0e+00;tbc+20;*;0;*;*;0;*;133.098  ;-2.543   ;
115;J0211-8159;lml+98;02:11:59.0;3.0e-01;dsb+98;-81:59:36.2;3.0e-01;dsb+98;*;0;*;*;0;*;299.592  ;-34.606  ;
116;J0212+5222;bck+13;02:12:52.138;6.0e-03;lsk+18;+52:22:49.50;4.1e-02;lsk+18;*;0;*;*;0;*;135.331  ;-8.520   ;
117;J0214+5222;slr+14;02:14:55.2713;3.4e-03;slr+14;+52:22:40.95;1.9e-01;slr+14;*;0;*;*;0;*;135.632  ;-8.423   ;
118;J0215+6218;llc98;02:15:56.626;9.5e-03;hlk+04;+62:18:33.37;9.8e-02;hlk+04;*;0;*;*;0;*;132.575  ;1.030    ;
119;J0218+4232;nbf+95;02:18:06.358569;4.0e-06;dyc+14;+42:32:17.37515;8.0e-05;dyc+14;5.35;5.0e-02;dyc+14;-3.74;1.2e-01;dyc+14;139.508  ;-17.527  ;
120;J0220+3626;ttol16;02:20:42.12;2.0e-02;sbo+22;+36:26:55.7;2.0e-01;sbo+22;*;0;*;*;0;*;142.317  ;-23.040  ;
121;J0227+3356;dcm+23;02:26:57.060;1.0e-03;dcm+23;+33:56:27.76;7.0e-02;dcm+23;*;0;*;*;0;*;144.657  ;-24.870  ;
122;J0229+20;dsm+13;02:29:03;3.2e+01;dsm+13;+20:58;8.0e+00;dsm+13;*;0;*;*;0;*;151.579  ;-36.417  ;
123;J0231+7026;dtws85;02:31:13.99;2.6e-02;hlk+04;+70:26:33.88;1.7e-01;hlk+04;*;0;*;*;0;*;131.155  ;9.181    ;
124;J0241+16;dsm+13;02:41:46;3.1e+01;dsm+13;+16:04;8.0e+00;dsm+13;*;0;*;*;0;*;157.964  ;-39.185  ;
125;J0242+62;hrk+08;02:42:35;3.0e+00;cvh+14;+62:56:50;3.6e+01;cvh+14;*;0;*;*;0;*;135.187  ;2.751    ;
126;J0243+6027;hrk+08;02:43;0;hrk+08;+60:27;0;hrk+08;*;0;*;*;0;*;136.271  ;0.500    ;
127;J0244+14;dsm+13;02:44:51;3.1e+01;dsm+13;+14:27;8.0e+00;dsm+13;*;0;*;*;0;*;159.914  ;-40.140  ;
128;J0248+4230;brj+21;02:48:31.003;1.0e-03;brj+21;+42:30:20.49;5.0e-02;brj+21;*;0;*;*;0;*;144.877  ;-15.322  ;
129;J0248+6021;tpc+11;02:48:18.617;1.0e-03;tpc+11;+60:21:34.72;1.0e-02;tpc+11;48;1.0e+01;tpc+11;48;4.0e+00;tpc+11;136.903  ;0.697    ;
130;J0250+5854;tbc+18;02:50:17.78;3.0e-02;tbc+18;+58:54:01.3;2.0e-01;tbc+18;*;0;*;*;0;*;137.767  ;-0.505   ;
131;J0251+2606;cck+16;02:51:02.5537;5.0e-04;drc+21;+26:06:09.97;2.0e-02;drc+21;17;3.0e+00;drc+21;*;0;*;153.881  ;-29.486  ;
132;J0255-5304;lvw69b;02:55:56.2925;9.0e-04;jbv+19;-53:04:21.275;9.0e-03;jbv+19;25;4.0e+00;jbv+19;7;3.0e+00;jbv+19;269.862  ;-55.310  ;
133;J0301+35;mgf+19;03:01;0.0e+00;mgf+19;+35;0.0e+00;mgf+19;*;0;*;*;0;*;150.915  ;-20.736  ;
134;J0302+2252;ttol16;03:02:31.990;4.0e-03;mbc+20;+22:52:12.1;2.0e-01;mbc+20;*;0;*;*;0;*;158.436  ;-30.815  ;
135;J0304+1932;fss73;03:04:33.115;1.6e-02;hlk+04;+19:32:51.4;8.0e-01;hlk+04;6;7.0e+00;las82;-37;4.0e+00;las82;161.135  ;-33.270  ;
136;J0305+11;scb+19;03:05:06;1.2e+01;scb+19;+11:23;3.0e+00;scb+19;*;0;*;*;0;*;167.463  ;-39.662  ;
137;J0307+7443;hrm+11;03:07:55;0;aab+22;+74:43:12;0;aab+22;*;0;*;*;0;*;131.704  ;14.223   ;
138;J0312-0921;trr+21;03:12:06.2;0;aab+22;-9:21:56;0;aab+22;*;0;*;*;0;*;191.510  ;-52.378  ;
139;J0317+13;ttm18;03:17:54;1.2e+01;scb+19;+13:29;3.0e+00;scb+19;*;0;*;*;0;*;168.763  ;-36.040  ;
140;J0318+0253;wlz+18;03:18:15.541;1.0e-03;wlc+21;+02:53:01.48;5.0e-02;wlc+21;*;0;*;*;0;*;178.457  ;-43.605  ;
141;J0323+3944;dth78;03:23:26.6619;1.0e-04;dgb+19;+39:44:52.403;1.0e-03;dgb+19;26.50;5.0e-02;dgb+19;-30.77;2.0e-02;dgb+19;152.180  ;-14.338  ;
142;J0324+5239;bck+13;03:24:55.46;4.0e-02;bck+13;+52:39:31.3;2.0e-01;bck+13;*;0;*;*;0;*;145.094  ;-3.480   ;
143;J0325+6744;slr+14;03:25:05.11;2.1e-02;lsk+18;+67:44:59.39;1.1e-01;lsk+18;*;0;*;*;0;*;136.715  ;9.089    ;
144;J0329+1654;lxf+05;03:29:08.55;3.0e-02;lxf+05;+16:54:02;2.0e+00;lxf+05;*;0;*;*;0;*;168.499  ;-31.683  ;
145;J0332+5434;cp68;03:32:59.4096;1.0e-04;dgb+19;+54:34:43.329;1.0e-03;dgb+19;16.97;3.0e-02;dgb+19;-10.37;5.0e-02;dgb+19;144.995  ;-1.221   ;
146;J0335+4555;dtws85;03:35:16.6416;1.0e-04;dgb+19;+45:55:53.452;1.0e-03;dgb+19;-3.66;5.0e-02;dgb+19;-0.08;1.2e-01;dgb+19;150.348  ;-8.038   ;
147;J0335+6623;slr+14;03:35:57.06;1.3e-01;lsk+18;+66:23:23.6;1.0e+00;lsk+18;*;0;*;*;0;*;138.383  ;8.588    ;
148;J0337+1715;rsa+14;03:37:43.82589;1.3e-04;rsa+14;+17:15:14.828;2.0e-03;rsa+14;4.81;4.9e-01;jkc+18;-4.42;4.2e-01;jkc+18;169.990  ;-30.039  ;
149;J0337+79;kkl+15;03:37:22;0.0e+00;mss+20;+79:01:44;0.0e+00;mss+20;*;0;*;*;0;*;130.580  ;18.709   ;
150;J0340+4130;wmg+22;03:40:23.287961;1.1e-05;abb+18;+41:30:45.2911;2.8e-04;abb+18;-0.53;1.1e-01;*;-3.3;2.9e-01;*;153.783  ;-11.022  ;
151;J0341+5711;hrk+08;03:41;0;hrk+08;+57:11;0;hrk+08;*;0;*;*;0;*;144.371  ;1.546    ;
152;J0343+06;mgf+19;03:43;0.0e+00;mgf+19;+06;0.0e+00;mgf+19;*;0;*;*;0;*;180.791  ;-36.929  ;
153;J0343-3000;bjd+06;03:43:27.94;3.0e-02;bjd+06;-30:00:27.5;4.0e-01;bjd+06;*;0;*;*;0;*;227.758  ;-52.338  ;
154;J0343+5312;dth78;03:43:12.90;4.1e-02;hlk+04;+53:12:53.4;6.3e-01;hlk+04;*;0;*;*;0;*;147.017  ;-1.428   ;
155;J0344-0901;clh+20;03:44:37.471;2.0e-03;clh+20;-09:01:02.66;1.0e-01;clh+20;*;0;*;*;0;*;197.397  ;-45.333  ;
156;J0348+0432;lbr+13;03:48:43.639000;4.0e-06;afw+13;+04:32:11.4580;2.0e-04;afw+13;+4.04;1.6e-01;afw+13;+3.5;6.0e-01;afw+13;183.337  ;-36.774  ;
157;J0349+2340;scb+19;03:49:57.38;4.0e-02;mbc+20;+23:40:53;2.0e+00;mbc+20;*;0;*;*;0;*;167.434  ;-23.384  ;
