designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 320718093802368,320718093802368,44.74536901303269,1.0773950153983158,6.531837516382235,0.060508258900024675,-19.98219807403981,0.9884886,10.044208,0.7852421,-0.72127515,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5800.783,4.3024,0.1411,151.91,0.0028,0.0023,0.0012
Gaia DR3 550447304258304,550447304258304,44.79588627642886,2.0810457896532406,6.086675673256644,55.8862171266221,2.7394576912189015,1.0497997,15.383587,2.3790636,41.23555,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3604.3252,4.6855,-0.1691,163.6344,0.6877,0.4609,0.2792
Gaia DR3 583054696059392,583054696059392,46.303562089568544,1.4556487221932426,11.407273455939103,60.732110226567684,-51.76582357949504,1.5034009,16.580158,3.2336245,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 640710336995072,640710336995072,46.128743548909256,1.725257074618689,5.7687712749591595,9.295576974117182,-42.38381737467606,1.0441004,16.127031,2.5860262,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3416.1948,4.5907,-0.4826,177.3361,0.6728,0.4389,0.2782
Gaia DR3 768494203684224,768494203684224,47.571800043187416,2.556381532771415,5.0099411658666355,0.21095531130380402,5.167593371927864,1.078808,20.679522,1.9684887,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 790243917745280,790243917745280,46.999751564351364,2.476359151081412,7.391231658475632,26.473590379784838,-23.147946433965107,1.1928257,19.665424,2.94248,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 816048081895808,816048081895808,47.11349320874759,2.5714861566993017,6.933262400452138,27.287688600865692,-35.772830587102014,1.0413452,14.528023,2.3300734,8.474345,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3620.4004,4.5281,-0.1319,146.6922,0.5873,0.395,0.2395
Gaia DR3 819136163156480,819136163156480,47.24131872192268,2.592741575880253,7.573641531991073,65.7509439444649,-2.9893625821539933,1.1014464,19.49438,2.872219,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 830582251223680,830582251223680,46.986191036673766,2.7043485019298745,6.127427422973528,-24.53605200443458,-11.850012204294838,0.9493066,11.5111885,0.95982933,3.9083874,VARIABLE,0,false,false,false,true,false,true,true,5437.625,4.5767,0.0628,161.8303,0.1259,0.1033,0.0548
Gaia DR3 892017463381248,892017463381248,46.26705134117401,2.3937683896673696,6.000987715720933,-25.119368349186075,-33.29516478784836,1.0869511,15.086815,2.1772718,26.844202,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3782.9788,4.6903,-0.166,167.144,0.7392,0.509,0.2926
Gaia DR3 906512977490944,906512977490944,46.05971219741219,2.453109459270725,5.176594394949909,4.24972975330388,-6.6232847097790515,1.0322491,15.45951,2.2991867,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3703.26,4.7044,0.0158,186.3984,0.7485,0.5071,0.3007
Gaia DR3 941697350062976,941697350062976,45.3525934864686,2.444941901121097,7.11674022793095,47.08179667550124,-84.01975069935456,1.001504,16.412199,2.5987892,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3437.3096,4.9038,-0.3674,141.4948,0.7145,0.467,0.2922
Gaia DR3 999838322439808,999838322439808,46.42473579783124,2.7021076567376183,5.695870966199045,4.878144546229771,-25.997288901267876,1.098232,17.66266,2.7336311,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3364.502,5.038,-0.5167,172.1205,0.7968,0.5138,0.3249
Gaia DR3 1021278799173760,1021278799173760,46.779193328452244,2.779079383071559,6.409209063226846,57.17897573971702,12.253950609687788,1.1405838,15.890297,2.6666431,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3514.1072,4.7707,0.0978,159.5521,0.8868,0.5762,0.3695
Gaia DR3 1021759835513088,1021759835513088,46.69832465143486,2.7661408928597306,8.174193178740662,-15.796482954462196,-114.00520210415661,1.0549119,17.052393,3.0134764,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3254.9346,4.9735,-0.1468,128.6901,0.9969,0.6204,0.4165
Gaia DR3 1054092348754432,1054092348754432,46.81781746542666,3.212377062419569,7.325835807958373,4.57128668746637,4.07174437646077,1.2913605,15.65091,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 1095044862283392,1095044862283392,46.48526937826355,3.1879019630711047,6.871637009096901,-32.86924009037449,-15.57232214970134,6.7588105,13.137261,1.6796122,-23.360996,NOT_AVAILABLE,1,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 1130160514852608,1130160514852608,43.67703963720241,1.3859585123590314,5.845704668976584,-10.474803323486903,-37.88135221565252,1.064399,20.071308,0.30340195,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 1153598151720704,1153598151720704,43.557874448374214,1.5716748134683025,12.827097085896833,112.00457425204058,25.25698047720756,1.1098024,17.249985,3.4365072,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 1160951135693312,1160951135693312,43.594662787389844,1.7672006564247322,7.623570893950481,39.543007161192506,-1.225212666906231,0.9145418,17.479006,2.9624214,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3222.8845,5.0268,-0.2787,132.0765,0.8857,0.5496,0.3703
