source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,l,b,parallax_over_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_over_error
2580165873239656448,20.18858518141763,10.57863286690083,36.81721,3.0990505,14.378924,-69.12746,0.055314247,-21.944891,0.028545974,134.58653400922768,-51.62849179343086,1076.8784,-63.714973,2.1986709,1.3012112,33371.60589152795,1647.7833
2580470296228401280,20.121076984074545,11.356666738447332,20.288864,1.8822079,15.477802,-45.66925,0.09226,-13.068603,0.051732667,134.25790660935974,-50.87521543430447,258.2275,-19.838154,18.49496,0.6727357,12129.024806254247,556.79266
2580470300521614720,20.121839820766233,11.355869080701764,20.367487,1.083415,9.458499,-44.020584,0.019121507,-9.858878,0.0116283335,134.25929824361077,-50.875866971532375,1195.2998,-1.9278035,0.17120968,0.9343823,3101323.513335846,3333.844
2580726795968505344,14.434519781644152,8.097404881552576,32.07573,3.2042208,14.787176,-9.883396,0.040516358,59.300777,0.03045401,125.63381019154903,-54.74129032650651,1004.08984,9.8962345,3.2163088,1.0912298,22912.692327192734,1785.2878
2580730575539752192,14.795809963467793,8.16122286331879,20.442196,3.1982183,15.993216,259.27325,0.06708785,-137.4893,0.047749314,126.24686761027024,-54.66066702422947,371.4274,,,1.2137783,7545.025184677397,1374.4742
2581557958039687296,15.588001705787812,9.815054011093862,21.745535,2.0653305,13.397092,280.77042,0.51772684,-174.5969,0.33913082,127.39829020060799,-52.962021753090625,51.88992,28.406387,3.9283516,25.852985,82434.668604538,3471.1724
2581608501214842112,15.57168567795259,10.265043984076296,22.959747,2.9472961,15.397829,299.08133,0.048589665,-84.16593,0.034979228,127.31996567701263,-52.51424916003341,567.43964,,,1.0510653,13056.15179891046,1648.4393
2581952820152989952,13.19536369651568,9.803240836765386,22.367723,0.9927721,8.324368,-33.451473,0.023844438,-49.521767,0.018471375,123.48274974854745,-53.0670722197907,1062.275,,,0.85936207,8814542.26115465,2407.1099
2581952820152990080,13.195852259799201,9.802284933856296,21.583069,1.6990414,11.358276,-19.736631,0.32108718,-41.639805,0.23250034,123.48356475926467,-53.068023903358416,92.03859,-2.5564365,1.6232138,10.885493,539059.067413563,1439.4789
2582335342824976768,13.765050041326814,10.167997234957241,37.63192,0.68980503,16.033548,30.098228,0.06296097,-48.14182,0.04335903,124.40269679488954,-52.69340817742211,746.2412,,,0.9566151,7269.880857274883,2370.0142
2582366477042770816,14.304347832836688,10.425943063265919,20.92653,2.083971,11.59178,-52.56258,0.1188258,-136.27222,0.085595615,125.26232803111952,-52.419653801705955,212.38576,-30.00206,0.42930278,5.024997,434745.4319376866,1789.9972
2583064770006046080,17.68710146305596,11.000032687554691,21.273884,0.95694447,8.876657,220.20319,0.020334624,45.67393,0.016181413,130.57230897537747,-51.585020046865736,1170.8346,2.773116,0.19108987,0.95849353,5300101.810946109,6088.3364
2583182211591974144,16.046111370493925,10.859826509811006,28.680761,2.037613,11.210439,25.051144,0.056028485,-67.46485,0.039575092,128.00631954592419,-51.8862916166512,661.63336,5.8218827,0.23959574,1.617423,617691.029355224,1904.3259
2583446850296290432,18.612275936601236,11.658566202425076,24.315008,2.3100338,12.190598,131.22472,0.31115454,-27.52366,0.25104138,131.87003091551202,-50.8134005511005,86.175224,15.302946,1.7327656,17.799263,250442.30709178062,995.053
2583721522045243008,17.902768885768012,12.083985014497983,48.79029,2.2464457,11.360538,-0.81725687,0.034332417,-292.91687,0.028325321,130.69597046819052,-50.48340528677911,1511.0796,27.95519,0.22383285,1.5206078,537937.522069357,1598.2272
2583819069342416384,18.07939822426086,12.281588867845738,28.686892,0.64913416,6.771456,-86.27639,0.031371497,-52.009743,0.022417642,130.9258951573288,-50.26579728552035,936.4962,-0.9414089,0.14510058,0.9906947,36843795.62409215,2991.2727
2584104083372245248,15.956701060499114,11.744673208982958,23.700367,3.0737648,15.091505,282.89807,0.040345516,-178.66791,0.03307369,127.75490977053272,-51.01102365590189,729.653,31.693125,4.365842,1.1586324,17311.893723329085,1244.013
2584424762810354048,15.879593061009599,12.705094710650734,25.96862,3.3966665,15.638063,89.41664,0.07840495,-366.82437,0.051452268,127.5237553735979,-50.05891830700448,455.614,,,1.281374,10464.568226561883,1194.7887
2584622022068408576,16.968885445912846,12.88095166744939,35.230515,2.20119,11.216652,275.86087,0.035866536,-22.973337,0.025174007,129.1442337496909,-49.79242188009995,1249.6693,13.940455,0.25602219,1.2256856,614166.4884602906,1666.7869
2584858240974364800,15.95007017937571,13.099281939737917,20.787466,1.961196,11.905946,171.86087,0.02427878,-12.011453,0.01825753,127.58503766709833,-49.66074469790655,838.9623,-8.359815,0.56772333,1.3178979,325513.02206231595,2808.2632
2584944213335024384,16.637803532743654,13.461671029614635,20.2563,2.086752,12.616232,70.04269,0.22878063,162.68225,0.15779845,128.56551257704632,-49.24469169683853,114.001656,-39.891403,1.3083867,11.273076,169220.92793544786,2496.7007
2585034476367732608,16.950996214401272,14.019630435400742,33.890083,3.0273724,14.568765,486.24823,0.036737405,-213.51544,0.028616713,128.9477817121452,-48.660858931135934,1101.1165,,,1.3101363,28018.238595634528,1650.703
2585189473147457408,22.35044973553913,10.381992921370085,34.17489,0.29881477,14.354587,-139.51537,0.029212203,-385.15005,0.01709412,137.99243294263658,-51.37621689824906,1373.9226,,,0.94839287,34128.10082221867,2759.4768
2585856120791459584,24.42087642407902,12.078407829941513,39.31177,0.80383205,6.6180305,120.371635,0.032887094,6.115086,0.022739736,140.39235394542123,-49.21914806889252,1295.9675,-20.971186,0.13198538,1.152643,42436009.5741959,4648.962
2585868490297270144,24.27436244166704,12.141825955491715,30.34934,0.51483583,5.4418836,-72.588524,0.8567571,9.676256,0.4464575,140.15496961851878,-49.196975794303206,41.936913,2.206049,1.4743034,10.050222,125369907.76896434,1037.7916
2586051833860608128,23.8992383467791,12.087452437187949,40.0805,3.337183,19.231478,-41.759975,0.42029867,-441.37927,0.26824108,139.63516081507257,-49.34680255108908,112.15999,,,1.113348,382.25725266820194,384.86032
2586616806743814912,21.168411979421137,12.133723613139122,21.842144,2.2161055,12.451317,11.314822,0.031500384,-27.534433,0.015142918,135.60707803350718,-49.918304760024306,915.5841,34.27468,0.5432661,1.4260408,196979.0519073176,2102.6924
2586715870164766336,20.65497977620758,12.752461466707222,22.554632,1.7885084,10.98232,396.19907,0.03671819,15.800023,0.015738431,134.66285485100244,-49.407730703106125,811.34906,15.407014,0.20187886,1.2113135,762112.3056839723,3671.9263
2586715870164766464,20.65433517495618,12.75099461865202,22.561777,1.1712942,9.338433,401.70898,0.022078343,10.012101,0.010644987,134.6623236097488,-49.40928872447054,1270.5765,14.855993,0.14094327,0.97741246,3463964.2271552263,7915.878
2586727273302673664,21.116517629859104,12.851305765710798,21.390154,1.6131964,10.795163,-74.94231,0.019759633,-142.91037,0.014409316,135.3117022999033,-49.22490593279153,1106.7861,-7.5383534,0.23696508,1.081755,905485.7696195969,3828.5298
2586728480188790144,21.07007235513524,12.907131312864708,27.33401,1.2282572,9.196171,266.11752,0.021848751,-90.22056,0.012926271,135.2270721149608,-49.17898500593115,1442.6582,32.1434,0.15148288,1.0121106,3948920.8580691703,6181.9434
2586931030846447488,23.543295434694404,12.96453919434149,33.564117,3.0265179,13.825711,-162.25072,0.025402574,-51.205463,0.01713398,138.78206406707517,-48.58760293425012,1123.1377,-8.40609,12.989143,1.2816441,55547.19509698062,1973.6813
2586953635258961920,23.35461277488214,13.236244075834252,24.813086,2.5560017,13.623025,304.9414,0.020114575,-154.0396,0.012071643,138.41228103853143,-48.36963986058009,1330.1058,6.180607,2.1955779,1.1726524,66947.85422813591,2543.1143
2587044349263491072,21.775639784917022,12.857973255388487,28.993156,2.9809532,14.81178,138.6651,0.033643868,-196.75098,0.021644067,136.27172128233676,-49.08781458242819,960.33,31.54132,3.507109,1.0825083,22399.31633479041,2047.0453
2587268134239449728,22.14105345017056,13.855891130144657,26.570648,-0.0688076,14.323541,21.034147,0.02841293,-52.055115,0.01812495,136.4760006862402,-48.03711827915961,1098.0321,,,1.0008813,35118.062850042705,2070.0527
