designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 47912529146793472,47912529146793472,66.45407068229086,18.879634139580368,20.876100188239622,30.92218656229572,-59.735241542722825,2.2668273,15.537267,3.4524527,82.51819,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 48149164665132672,48149164665132672,65.5338839680541,19.25594144794,27.924050756402103,-101.40752510296521,-32.61542181968453,1.7857486,11.831636,2.456791,,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 48455894049191424,48455894049191424,63.624805023608,18.729881346946026,20.68037659924827,110.10127993494417,-30.568057865234003,3.769246,13.204377,2.7620544,33.21515,NOT_AVAILABLE,1,true,true,true,false,false,false,true,,,,,,,
Gaia DR3 49124190961270656,49124190961270656,65.41026272327389,20.30260722476872,26.73644863516642,136.66318859191045,-47.06583448165913,1.1433353,14.746433,3.1887932,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3041.5432,5.0144,0.002,37.0287,9.0E-4,6.0E-4,4.0E-4
Gaia DR3 49298394834276608,49298394834276608,64.31506301993932,20.578332998961216,35.08043993927667,-40.374722938049395,-59.485643178719705,1.0145885,4.864198,0.3499999,13.233951,NOT_AVAILABLE,0,true,true,false,false,false,true,true,7460.598,4.2089,-0.2815,28.6899,0.0,0.0,0.0
Gaia DR3 52171349999941632,52171349999941632,60.80683456618773,20.846334266968174,26.332701802393753,115.84509155213924,-71.05818429838504,1.3071724,14.156531,2.7470894,-17.677227,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3248.7576,5.018,-0.2714,37.9787,0.1,0.0637,0.0424
Gaia DR3 53942250914697472,53942250914697472,62.151458614786904,23.768418750646738,21.101376976449195,119.73831500044187,-43.197298148075795,0.9663456,9.199288,1.0837736,36.320415,VARIABLE,0,true,true,true,true,false,true,true,4975.467,4.5305,0.1406,47.3018,0.0,0.0,0.0
Gaia DR3 55729541423485824,55729541423485824,49.152760176037994,18.09976667323338,22.833717996641518,71.82499886991296,-65.45636312949517,1.0447338,15.472551,3.086606,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3089.7595,5.1103,-0.3922,43.6406,0.0012,7.0E-4,5.0E-4
Gaia DR3 55886977746036096,55886977746036096,51.473893801559065,17.909364863421498,22.670900012795926,-144.11031390581363,-14.631385393000672,1.1365254,14.330101,2.4673023,-42.697163,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3169.306,4.6002,-0.9068,43.926,3.0E-4,2.0E-4,1.0E-4
Gaia DR3 56861694804053120,56861694804053120,54.890870060999845,18.384060305138238,27.448907473568944,187.9402639669383,-192.34141794904815,1.0620921,8.033154,1.0453358,,NOT_AVAILABLE,2,true,true,false,false,false,true,true,4952.7227,4.3085,-0.689,36.347,0.0,0.0,0.0
